,customer_id,age,income,purchase_amount,gender,region,total_purchases,preferred_product_category,customer_loyalty_score,signup_date,last_purchase_date,month,year,difference_between_last_purchase_signup,Days since last purchase,purchase_group_by_monthsname
792,793,69.0,115700.0,1407.8520227356385,Female,South,49.0,Clothing,80.71637664216806,2021-02-08,2021-09-12,2,2021,216,-1508,2021-09
793,794,36.0,93900.0,404.6616705835668,Male,North,43.0,Electronics,56.08936438039106,2021-01-24,2023-08-31,1,2021,949,-790,2023-08
794,795,75.0,25500.0,905.4580437885472,Male,East,15.0,Toys,93.619154111521,2021-02-12,2023-12-16,2,2021,1037,-683,2023-12
795,796,64.0,103400.0,1663.0461041402243,Male,West,36.0,Health,81.03325075758356,2021-06-19,2022-10-11,6,2021,479,-1114,2022-10
797,798,70.0,83400.0,834.1840530794711,Male,North,22.0,Clothing,38.89584856279373,2021-06-18,2021-07-11,6,2021,23,-1571,2021-07
798,799,22.0,116100.0,1333.457817349069,Female,North,32.0,Health,66.84854273067788,2022-06-22,2023-09-30,6,2022,465,-760,2023-09
800,801,29.0,26800.0,814.9652689184551,Female,North,33.0,Health,98.77158687446708,2022-04-17,2022-09-27,4,2022,163,-1128,2022-09
802,803,69.0,74300.0,456.6073985305631,Male,North,39.0,Clothing,57.37693055793639,2022-10-07,2023-08-06,10,2022,303,-815,2023-08
804,805,38.0,37800.0,1902.6209466345344,Male,North,43.0,Clothing,27.323641946394773,2022-11-07,2023-11-04,11,2022,362,-725,2023-11
805,806,53.0,78600.0,435.5973065807368,Male,West,2.0,Electronics,28.360302725963276,2021-04-11,2023-11-27,4,2021,960,-702,2023-11
809,810,74.0,116100.0,1405.2011353865855,Female,South,46.0,Electronics,34.133460083121825,2022-04-20,2023-02-04,4,2022,290,-998,2023-02
812,813,70.0,37100.0,1417.7933484284142,Female,West,7.0,Toys,62.31732430313927,2021-03-01,2022-07-25,3,2021,511,-1192,2022-07
813,814,59.0,32700.0,1017.303446469913,Male,South,36.0,Electronics,34.75918822297629,2021-01-29,2021-05-29,1,2021,120,-1614,2021-05
815,816,56.0,25500.0,1026.1206029570849,Male,South,37.0,Electronics,58.44489043115127,2021-03-14,2022-10-06,3,2021,571,-1119,2022-10
817,818,48.0,112600.0,965.9294102710812,Female,West,36.0,Toys,61.92602137877215,2022-01-29,2023-02-13,1,2022,380,-989,2023-02
818,819,75.0,108300.0,966.7546686405714,Female,East,23.0,Electronics,84.7058190871695,2022-04-26,2022-06-12,4,2022,47,-1235,2022-06
823,824,60.0,53700.0,1071.5968027483043,Female,North,34.0,Clothing,97.81531220840392,2021-03-28,2023-06-27,3,2021,821,-855,2023-06
824,825,28.0,79200.0,1496.5209790854788,Female,North,1.0,Electronics,26.31502596023292,2021-12-25,2022-08-06,12,2021,224,-1180,2022-08
826,827,64.0,64700.0,1399.1915762452113,Male,West,40.0,Health,87.73650457130682,2021-07-16,2022-04-01,7,2021,259,-1307,2022-04
827,828,29.0,69400.0,1849.6645179144523,Male,East,43.0,Clothing,8.006366266022624,2022-01-20,2022-10-05,1,2022,258,-1120,2022-10
828,829,26.0,88700.0,1644.2416945314578,Male,East,15.0,Health,82.06880020942519,2021-04-28,2022-07-15,4,2021,443,-1202,2022-07
829,830,27.0,42100.0,1132.4903038228465,Female,North,48.0,Health,57.100836897467,2022-05-13,2022-06-17,5,2022,35,-1230,2022-06
832,833,34.0,100700.0,1245.9527276012557,Female,North,44.0,Clothing,3.919683545574304,2022-08-17,2022-11-30,8,2022,105,-1064,2022-11
835,836,24.0,41400.0,1112.8339948997236,Male,North,6.0,Electronics,7.120009847449815,2022-02-21,2023-01-24,2,2022,337,-1009,2023-01
836,837,63.0,103300.0,498.8396269223992,Female,West,8.0,Clothing,88.72043142578919,2022-04-12,2023-11-06,4,2022,573,-723,2023-11
839,840,59.0,72800.0,1322.375458879748,Female,West,32.0,Electronics,62.04679732142539,2021-06-02,2021-06-22,6,2021,20,-1590,2021-06
840,841,26.0,81500.0,1137.5028530711995,Female,South,42.0,Toys,79.46795684312156,2021-09-29,2023-07-25,9,2021,664,-827,2023-07
841,842,67.0,64200.0,1867.2541185458904,Male,North,4.0,Electronics,88.95906413668648,2022-01-27,2022-12-08,1,2022,315,-1056,2022-12
842,843,44.0,81100.0,1181.2933264541484,Male,East,44.0,Clothing,46.83069268391464,2022-07-01,2023-09-03,7,2022,429,-787,2023-09
843,844,75.0,28300.0,1061.6433864664575,Male,East,39.0,Health,89.74998774012042,2022-12-26,2023-02-22,12,2022,58,-980,2023-02
845,846,22.0,98300.0,1431.077925593358,Female,North,24.0,Health,68.8228042177691,2022-03-06,2022-10-25,3,2022,233,-1100,2022-10
847,848,54.0,75300.0,953.19038365676,Female,North,26.0,Clothing,23.595178919452675,2021-07-08,2023-01-30,7,2021,571,-1003,2023-01
849,850,36.0,88900.0,768.8845401818227,Male,South,36.0,Electronics,34.20188249778702,2022-01-30,2022-12-18,1,2022,322,-1046,2022-12
851,852,65.0,84100.0,837.9526474997456,Male,North,10.0,Health,28.416280570487416,2021-08-07,2022-11-08,8,2021,458,-1086,2022-11
853,854,18.0,119300.0,836.4856448038685,Male,West,12.0,Health,47.75240359212872,2021-07-09,2021-08-01,7,2021,23,-1550,2021-08
854,855,39.0,23400.0,163.10835619488967,Male,South,1.0,Clothing,37.504129449490186,2021-08-22,2023-02-05,8,2021,532,-997,2023-02
856,857,34.0,57400.0,1710.2360069034016,Male,West,16.0,Electronics,19.45299749000532,2021-08-20,2022-03-11,8,2021,203,-1328,2022-03
861,862,53.0,86300.0,1100.0708741797746,Female,South,26.0,Electronics,44.32811764267336,2021-08-25,2022-01-12,8,2021,140,-1386,2022-01
862,863,23.0,23800.0,429.97302509840506,Female,East,49.0,Health,94.79609167513946,2021-02-02,2021-08-13,2,2021,192,-1538,2021-08
863,864,77.0,42200.0,1097.0667603442355,Male,East,39.0,Health,13.465892662418522,2021-08-01,2023-11-07,8,2021,828,-722,2023-11
865,866,36.0,43400.0,1700.8692615626242,Male,North,9.0,Electronics,61.76380505435449,2022-01-14,2022-04-18,1,2022,94,-1290,2022-04
871,872,27.0,45000.0,1149.4107929792103,Female,North,37.0,Clothing,87.75817725333674,2021-10-06,2022-12-20,10,2021,440,-1044,2022-12
873,874,36.0,118000.0,1435.0974369667538,Female,South,8.0,Electronics,52.42366565631603,2021-10-12,2022-08-13,10,2021,305,-1173,2022-08
876,877,20.0,119300.0,579.0884797044594,Male,West,21.0,Clothing,48.05782526886784,2021-10-01,2023-08-17,10,2021,685,-804,2023-08
877,878,62.0,99000.0,180.2883975090625,Male,South,41.0,Toys,62.07082263350591,2021-01-11,2021-04-29,1,2021,108,-1644,2021-04
878,879,30.0,115400.0,1755.6953774914657,Female,East,19.0,Toys,7.922653788091982,2021-02-16,2023-04-16,2,2021,789,-927,2023-04
879,880,67.0,36800.0,1463.1622128869155,Female,East,29.0,Electronics,49.73513231268498,2022-05-30,2023-04-22,5,2022,327,-921,2023-04
880,881,45.0,64500.0,616.8968577284254,Male,North,31.0,Clothing,69.81576440198451,2022-10-04,2023-05-17,10,2022,225,-896,2023-05
881,882,79.0,44400.0,1206.7585258865329,Male,South,6.0,Toys,58.407190993377,2022-03-14,2023-08-03,3,2022,507,-818,2023-08
884,885,45.0,81400.0,247.5145598565824,Male,East,29.0,Health,30.967020009015958,2022-03-03,2022-07-20,3,2022,139,-1197,2022-07
887,888,58.0,106200.0,1174.5930904366812,Male,North,1.0,Toys,62.172661530888185,2021-01-22,2022-01-03,1,2021,346,-1395,2022-01
891,892,30.0,94700.0,1008.413914745837,Female,North,21.0,Toys,10.812260729606148,2021-08-08,2023-03-27,8,2021,596,-947,2023-03
895,896,77.0,84200.0,985.0211945106448,Female,West,17.0,Clothing,82.5855420859452,2022-08-25,2023-06-20,8,2022,299,-862,2023-06
897,898,42.0,37200.0,538.2671782662752,Female,West,39.0,Electronics,34.66437466405288,2021-10-25,2022-12-24,10,2021,425,-1040,2022-12
898,899,73.0,39600.0,1255.996659255086,Female,East,3.0,Health,31.885377061487585,2022-05-19,2023-12-21,5,2022,581,-678,2023-12
900,901,55.0,82100.0,396.8672106881941,Female,North,35.0,Clothing,19.673286642818034,2021-12-23,2023-08-09,12,2021,594,-812,2023-08
904,905,61.0,53200.0,873.0993852568961,Male,East,28.0,Electronics,81.09308556284091,2022-12-10,2023-08-01,12,2022,234,-820,2023-08
906,907,49.0,113600.0,1455.720096667966,Female,West,26.0,Electronics,17.346199811481288,2021-02-03,2021-02-22,2,2021,19,-1710,2021-02
907,908,62.0,92000.0,1596.6753135619615,Male,West,7.0,Health,20.919416762862053,2021-09-05,2022-10-13,9,2021,403,-1112,2022-10
908,909,78.0,42800.0,1669.216036790949,Female,West,39.0,Health,61.9183778517851,2021-02-11,2021-09-28,2,2021,229,-1492,2021-09
910,911,38.0,48700.0,1586.7428991434333,Male,East,5.0,Health,87.72802313513668,2021-01-27,2022-01-31,1,2021,369,-1367,2022-01
914,915,28.0,68500.0,101.31498212500271,Male,West,36.0,Health,84.56431203863204,2022-05-11,2023-07-12,5,2022,427,-840,2023-07
917,918,53.0,51800.0,59.64599486973149,Female,North,40.0,Health,33.62965412697576,2022-04-05,2022-07-15,4,2022,101,-1202,2022-07
919,920,36.0,95000.0,787.1835983670782,Male,South,45.0,Clothing,56.19752393137492,2021-05-08,2021-07-24,5,2021,77,-1558,2021-07
920,921,37.0,57500.0,1175.1746076565014,Female,West,22.0,Electronics,53.78282791267486,2022-01-11,2023-08-26,1,2022,592,-795,2023-08
922,923,35.0,94900.0,1246.0245482384669,Male,South,15.0,Toys,34.75338626603488,2021-03-24,2023-10-01,3,2021,921,-759,2023-10
923,924,64.0,93000.0,970.9826324068844,Female,South,49.0,Clothing,0.5896940036786757,2022-06-19,2023-10-16,6,2022,484,-744,2023-10
927,928,32.0,30600.0,1200.9392301588068,Male,South,18.0,Clothing,82.10112596512735,2022-11-05,2022-12-14,11,2022,39,-1050,2022-12
928,929,48.0,99300.0,979.6852435338888,Male,West,42.0,Clothing,30.04098587867969,2021-04-13,2022-09-29,4,2021,534,-1126,2022-09
929,930,18.0,37600.0,73.19795500897189,Male,West,49.0,Electronics,81.54722372311751,2022-06-03,2023-03-15,6,2022,285,-959,2023-03
931,932,71.0,110500.0,230.12865927217103,Male,North,15.0,Electronics,9.669838554633724,2022-11-15,2023-05-28,11,2022,194,-885,2023-05
932,933,71.0,56800.0,1072.0865268703365,Male,South,6.0,Toys,97.79115625906942,2021-09-13,2023-05-07,9,2021,601,-906,2023-05
934,935,33.0,81100.0,1234.0407839839754,Male,South,47.0,Clothing,62.94785139623463,2021-07-11,2022-06-15,7,2021,339,-1232,2022-06
936,937,74.0,56100.0,613.3439940061518,Male,East,9.0,Health,36.24122522268807,2022-06-19,2022-12-19,6,2022,183,-1045,2022-12
940,941,49.0,104200.0,1367.7312989869592,Male,North,13.0,Electronics,65.70008866315482,2022-03-20,2022-07-09,3,2022,111,-1208,2022-07
942,943,25.0,72400.0,1031.7220712292228,Male,West,27.0,Electronics,19.01258976890813,2021-07-14,2023-06-01,7,2021,687,-881,2023-06
944,945,29.0,74400.0,126.48828907120826,Male,North,5.0,Clothing,10.879584638095483,2022-08-05,2022-09-23,8,2022,49,-1132,2022-09
945,946,41.0,88700.0,63.72997369633589,Female,North,22.0,Clothing,60.22084642482034,2021-12-26,2023-04-01,12,2021,461,-942,2023-04
946,947,45.0,102300.0,728.763165174874,Female,South,31.0,Health,80.09376958208561,2022-07-02,2022-08-07,7,2022,36,-1179,2022-08
947,948,70.0,35500.0,680.6485634547114,Female,South,3.0,Health,61.083865658493366,2021-04-18,2023-04-26,4,2021,738,-917,2023-04
948,949,25.0,84100.0,787.6364065812334,Female,West,30.0,Health,17.9783830977044,2021-01-24,2023-04-22,1,2021,818,-921,2023-04
951,952,53.0,86700.0,1716.7895412569533,Male,South,6.0,Toys,30.27247960782191,2021-01-22,2021-09-11,1,2021,232,-1509,2021-09
952,953,43.0,103600.0,1878.6549780405887,Male,North,28.0,Clothing,83.26515022526404,2022-05-17,2022-07-25,5,2022,69,-1192,2022-07
954,955,75.0,65800.0,1407.7140842683486,Male,West,42.0,Clothing,2.174080783667487,2022-05-16,2023-05-01,5,2022,350,-912,2023-05
959,960,54.0,88900.0,1041.0395711326048,Male,South,22.0,Clothing,64.10423182678943,2021-10-13,2023-09-06,10,2021,693,-784,2023-09
961,962,53.0,111800.0,373.2638711957216,Female,West,39.0,Health,18.462720673731532,2022-01-19,2023-05-21,1,2022,487,-892,2023-05
962,963,44.0,41400.0,234.1469288552464,Male,West,30.0,Electronics,76.00358554624314,2021-01-11,2021-09-14,1,2021,246,-1506,2021-09
966,967,50.0,91500.0,399.6377104327276,Female,East,40.0,Electronics,9.105385030946444,2021-10-30,2022-07-10,10,2021,253,-1207,2022-07
967,968,70.0,60400.0,1119.8846147358702,Male,West,33.0,Electronics,25.11002237065345,2021-07-23,2022-12-25,7,2021,520,-1039,2022-12
968,969,37.0,37300.0,1176.160192737048,Female,West,25.0,Electronics,28.492980552511423,2021-12-11,2022-10-15,12,2021,308,-1110,2022-10
970,971,45.0,64100.0,1705.7833808251185,Male,North,24.0,Health,16.088336774205892,2021-01-22,2021-03-26,1,2021,63,-1678,2021-03
973,974,30.0,67500.0,1367.161139249794,Female,South,46.0,Clothing,49.09317308164655,2021-04-06,2021-10-11,4,2021,188,-1479,2021-10
974,975,63.0,31200.0,562.7583203620173,Male,West,13.0,Health,43.46945143083677,2022-03-21,2023-12-02,3,2022,621,-697,2023-12
975,976,52.0,28800.0,1658.796885666918,Male,East,10.0,Electronics,56.6601346950191,2021-09-20,2023-09-30,9,2021,740,-760,2023-09
977,978,23.0,99300.0,1582.2652322053057,Female,North,18.0,Clothing,99.00863745790824,2022-01-18,2022-09-06,1,2022,231,-1149,2022-09
978,979,35.0,21000.0,255.8309410358982,Male,North,32.0,Health,55.7524376194266,2022-07-04,2022-10-11,7,2022,99,-1114,2022-10
980,981,22.0,111600.0,587.2180007342756,Female,East,36.0,Electronics,58.99776046995998,2022-08-24,2023-09-25,8,2022,397,-765,2023-09
982,983,42.0,37500.0,1501.0718318648169,Male,East,16.0,Electronics,2.403769666640887,2021-04-02,2023-07-27,4,2021,846,-825,2023-07
984,985,27.0,25800.0,1414.5839255952174,Male,South,18.0,Toys,1.056687207381335,2021-06-08,2023-07-10,6,2021,762,-842,2023-07
987,988,67.0,27100.0,626.4104162691372,Male,West,16.0,Electronics,23.7604496983026,2022-01-07,2022-01-31,1,2022,24,-1367,2022-01
990,991,22.0,118800.0,401.8837260054362,Female,North,1.0,Health,6.63511719879809,2021-02-06,2021-09-06,2,2021,212,-1514,2021-09
992,993,73.0,90200.0,1073.801292215264,Female,East,38.0,Electronics,82.26562836884254,2022-11-22,2022-12-02,11,2022,10,-1062,2022-12
993,994,50.0,109900.0,1646.8503081623314,Male,South,28.0,Electronics,83.6737569944919,2021-02-06,2022-01-29,2,2021,357,-1369,2022-01
994,995,71.0,27600.0,220.7320880903298,Female,West,45.0,Health,72.67000841845227,2021-04-11,2022-10-14,4,2021,551,-1111,2022-10
995,996,18.0,67100.0,1587.9448211155438,Female,South,17.0,Health,35.27450125170921,2022-06-27,2023-10-15,6,2022,475,-745,2023-10
996,997,35.0,57300.0,1626.9125686160653,Male,South,1.0,Electronics,82.12544498888423,2021-07-09,2022-02-10,7,2021,216,-1357,2022-02
997,998,49.0,92200.0,974.9025201614562,Male,East,32.0,Electronics,53.9774520242882,2022-05-27,2023-09-27,5,2022,488,-763,2023-09
999,1000,66.0,97400.0,365.6879054694291,Male,North,40.0,Clothing,43.72767691143904,2021-03-31,2021-06-04,3,2021,65,-1608,2021-06
1000,1001,28.0,46500.0,1420.704024820626,Female,North,43.0,Clothing,6.576776983457567,2021-01-06,2023-05-17,1,2021,861,-896,2023-05
1001,1002,38.0,38700.0,1429.32033108208,Female,East,46.0,Toys,94.49086867499136,2021-05-19,2022-07-13,5,2021,420,-1204,2022-07
1002,1003,43.0,99700.0,1798.7434448319773,Male,West,24.0,Health,61.911641735184006,2021-04-05,2021-07-13,4,2021,99,-1569,2021-07
1005,1006,76.0,104100.0,260.4015128998448,Male,West,39.0,Health,66.77499845209806,2022-01-21,2023-09-07,1,2022,594,-783,2023-09
1007,1008,66.0,91900.0,383.8936369136443,Female,East,10.0,Clothing,52.53712797848466,2021-10-12,2022-04-17,10,2021,187,-1291,2022-04
1009,1010,50.0,28100.0,984.6797737053896,Male,West,25.0,Electronics,4.451885141159995,2022-11-22,2023-03-13,11,2022,111,-961,2023-03
1010,1011,51.0,51800.0,69.03445760077938,Female,East,10.0,Electronics,95.61656838882706,2022-05-05,2022-07-07,5,2022,63,-1210,2022-07
1011,1012,58.0,47800.0,512.6616734994651,Female,West,19.0,Health,42.41596830059892,2021-11-21,2022-12-31,11,2021,405,-1033,2022-12
1012,1013,52.0,43200.0,827.6214248444145,Female,South,46.0,Toys,28.989549205137124,2022-02-11,2022-05-28,2,2022,106,-1250,2022-05
1013,1014,18.0,50500.0,573.6799106165483,Male,West,45.0,Clothing,53.18213616419428,2022-06-03,2023-10-10,6,2022,494,-750,2023-10
1015,1016,65.0,91700.0,1461.4642704364708,Female,South,16.0,Clothing,47.47550617686376,2021-03-18,2023-04-30,3,2021,773,-913,2023-04
1016,1017,72.0,26400.0,1630.03235723261,Female,South,2.0,Electronics,64.51056765863919,2021-08-22,2023-03-05,8,2021,560,-969,2023-03
1019,1020,34.0,81600.0,783.3960575146014,Female,West,29.0,Electronics,13.803091519663656,2022-04-09,2022-05-19,4,2022,40,-1259,2022-05
1025,1026,70.0,56600.0,158.04446315078437,Male,East,15.0,Electronics,45.58894241342409,2022-12-20,2023-07-10,12,2022,202,-842,2023-07
1027,1028,54.0,47800.0,787.9118537507668,Female,West,31.0,Clothing,3.486590631702557,2022-08-28,2022-12-23,8,2022,117,-1041,2022-12
1029,1030,54.0,35900.0,1454.8985834384123,Female,North,41.0,Toys,35.3081157400866,2021-06-26,2021-12-31,6,2021,188,-1398,2021-12
1031,1032,27.0,22000.0,1727.7294513586355,Male,South,45.0,Health,49.39872654301404,2022-11-22,2023-01-04,11,2022,43,-1029,2023-01
1032,1033,36.0,96500.0,645.6743394279501,Female,East,26.0,Health,36.06696643093027,2022-10-03,2023-05-26,10,2022,235,-887,2023-05
1033,1034,34.0,28600.0,1707.3805345793146,Male,East,38.0,Toys,55.54413024408264,2022-09-29,2023-09-21,9,2022,357,-769,2023-09
1034,1035,38.0,106900.0,101.04920986120386,Male,West,36.0,Health,72.08252280828007,2021-01-27,2022-10-23,1,2021,634,-1102,2022-10
1036,1037,26.0,96200.0,1254.568006444826,Male,West,3.0,Electronics,15.70836476289097,2021-03-01,2021-11-09,3,2021,253,-1450,2021-11
1040,1041,62.0,76900.0,687.7884541873681,Female,East,41.0,Clothing,75.08303636863344,2021-09-27,2022-12-04,9,2021,433,-1060,2022-12
1041,1042,30.0,90400.0,375.6075672513899,Female,East,27.0,Toys,22.280684240028517,2021-04-26,2022-10-08,4,2021,530,-1117,2022-10
1044,1045,18.0,102400.0,961.2639936038552,Male,North,48.0,Toys,78.87717155654934,2022-08-27,2023-05-29,8,2022,275,-884,2023-05
1045,1046,66.0,82500.0,1570.3404580674598,Male,East,34.0,Health,70.50444718255345,2021-03-26,2022-05-31,3,2021,431,-1247,2022-05
1049,1050,45.0,20400.0,246.18953441096372,Female,East,34.0,Clothing,85.23740974825584,2022-06-20,2023-01-19,6,2022,213,-1014,2023-01
1050,1051,48.0,95300.0,525.5996334532249,Male,West,40.0,Health,38.61869441194644,2021-03-30,2023-03-30,3,2021,730,-944,2023-03
1051,1052,25.0,105400.0,1659.393397734458,Female,East,25.0,Clothing,6.117988091840654,2022-07-03,2023-09-29,7,2022,453,-761,2023-09
1052,1053,56.0,120000.0,768.4281964797832,Female,East,2.0,Toys,37.44191769022967,2022-05-22,2023-05-17,5,2022,360,-896,2023-05
1053,1054,43.0,50700.0,1962.7394864118075,Male,East,34.0,Toys,20.73126732427414,2022-02-12,2022-08-31,2,2022,200,-1155,2022-08
1054,1055,75.0,45900.0,943.181497425114,Female,South,26.0,Clothing,93.92070170650176,2021-09-28,2023-06-29,9,2021,639,-853,2023-06
1056,1057,71.0,75800.0,816.5679419370964,Male,South,9.0,Toys,5.083266421334864,2022-05-09,2023-11-03,5,2022,543,-726,2023-11
1060,1061,67.0,46800.0,1104.085410438789,Male,West,29.0,Clothing,90.62964019071607,2021-12-16,2022-02-20,12,2021,66,-1347,2022-02
1063,1064,71.0,59500.0,219.11420952521985,Female,North,44.0,Health,93.18832818364258,2021-02-04,2023-01-22,2,2021,717,-1011,2023-01
1064,1065,61.0,75600.0,798.6577404964461,Female,North,25.0,Toys,14.521168671467056,2022-06-17,2023-08-08,6,2022,417,-813,2023-08
1067,1068,47.0,77200.0,705.4698356270487,Female,South,44.0,Health,3.0058312201998505,2022-05-02,2022-11-21,5,2022,203,-1073,2022-11
1069,1070,74.0,66900.0,713.3933884259737,Female,North,37.0,Electronics,95.27928270829128,2022-06-08,2022-08-11,6,2022,64,-1175,2022-08
1075,1076,54.0,21400.0,1739.7429159339324,Female,West,20.0,Health,22.776040309328828,2021-09-29,2023-10-01,9,2021,732,-759,2023-10
1076,1077,38.0,100400.0,1137.98691863448,Female,North,9.0,Clothing,10.18373415997994,2022-06-18,2023-05-11,6,2022,327,-902,2023-05
1077,1078,31.0,110800.0,1042.922631871465,Male,East,23.0,Electronics,72.89330117180371,2022-09-22,2023-04-25,9,2022,215,-918,2023-04
1081,1082,56.0,59000.0,1376.6455362900056,Male,North,19.0,Toys,3.9570961811353778,2021-09-14,2021-12-17,9,2021,94,-1412,2021-12
1084,1085,51.0,46500.0,545.1129032537217,Male,West,43.0,Electronics,15.26968104465608,2022-03-12,2023-09-06,3,2022,543,-784,2023-09
1087,1088,51.0,39600.0,849.8896253952688,Male,South,21.0,Health,35.65657573377936,2021-01-19,2021-02-26,1,2021,38,-1706,2021-02
1091,1092,44.0,75700.0,345.906561925158,Female,South,7.0,Electronics,96.29802480652717,2021-06-09,2021-10-10,6,2021,123,-1480,2021-10
1092,1093,68.0,46100.0,146.48193951318763,Female,West,22.0,Clothing,39.0729056209689,2021-04-10,2023-03-17,4,2021,706,-957,2023-03
1094,1095,69.0,27700.0,456.2318152714957,Male,West,23.0,Health,66.5772421060789,2021-02-18,2021-08-06,2,2021,169,-1545,2021-08
1095,1096,74.0,111100.0,1040.304272228866,Male,North,15.0,Toys,80.94785841221682,2022-11-08,2023-01-15,11,2022,68,-1018,2023-01
1097,1098,50.0,66100.0,1508.5061596122966,Female,North,34.0,Toys,69.86102220544285,2021-02-28,2023-09-24,2,2021,938,-766,2023-09
1098,1099,41.0,87500.0,1814.3423684815743,Male,North,13.0,Clothing,37.29315685666111,2021-07-02,2021-09-17,7,2021,77,-1503,2021-09
1106,1107,22.0,58700.0,704.8005387910332,Male,West,35.0,Health,19.66320424660023,2021-07-08,2022-01-16,7,2021,192,-1382,2022-01
1110,1111,73.0,92800.0,337.97551618575096,Female,North,34.0,Electronics,6.935167101859663,2021-01-30,2023-07-26,1,2021,907,-826,2023-07
1112,1113,27.0,92900.0,400.071769211537,Male,North,11.0,Clothing,29.29107655380726,2022-04-13,2022-08-30,4,2022,139,-1156,2022-08
1113,1114,34.0,79000.0,1444.0841497074107,Male,South,13.0,Electronics,29.576613119709585,2022-09-09,2023-02-04,9,2022,148,-998,2023-02
1115,1116,37.0,99100.0,646.1059426753935,Male,East,2.0,Clothing,40.47915943205342,2021-07-10,2023-09-18,7,2021,800,-772,2023-09
1116,1117,41.0,22500.0,1693.0422902074008,Female,East,34.0,Electronics,28.402866820278227,2022-04-16,2022-05-21,4,2022,35,-1257,2022-05
1119,1120,23.0,82200.0,816.698640430486,Female,West,4.0,Clothing,88.60190180435904,2021-01-01,2022-04-11,1,2021,465,-1297,2022-04
1122,1123,30.0,56600.0,326.6179966760661,Male,North,28.0,Electronics,54.72927643469817,2021-02-22,2022-04-19,2,2021,421,-1289,2022-04
1123,1124,79.0,56400.0,758.5396744223888,Female,West,3.0,Toys,63.075350298143086,2021-09-19,2022-10-17,9,2021,393,-1108,2022-10
1125,1126,60.0,75300.0,1397.674034542676,Male,South,10.0,Clothing,37.73484566398125,2021-10-29,2022-06-06,10,2021,220,-1241,2022-06
1127,1128,28.0,114300.0,1991.1117166714157,Male,West,27.0,Electronics,87.81810458043095,2021-03-14,2022-02-19,3,2021,342,-1348,2022-02
1128,1129,68.0,41100.0,911.5480846743496,Male,West,31.0,Clothing,44.995378578085,2021-12-23,2021-12-30,12,2021,7,-1399,2021-12
1134,1135,48.0,61900.0,696.894222220339,Female,East,34.0,Electronics,23.842370049535557,2021-05-17,2022-05-24,5,2021,372,-1254,2022-05
1135,1136,28.0,118700.0,1971.891245711604,Male,West,39.0,Clothing,0.2007045838974042,2022-02-08,2022-04-11,2,2022,62,-1297,2022-04
1139,1140,21.0,102100.0,37.37887965690034,Male,West,18.0,Toys,26.27899723554192,2021-07-25,2022-12-24,7,2021,517,-1040,2022-12
1142,1143,73.0,82400.0,94.04604100941864,Female,East,4.0,Toys,84.12262245742964,2021-02-05,2021-06-23,2,2021,138,-1589,2021-06
1143,1144,42.0,35100.0,1020.6232078817408,Male,West,13.0,Clothing,17.033163436986953,2021-08-18,2022-10-08,8,2021,416,-1117,2022-10
1147,1148,44.0,41900.0,259.0783390754266,Female,South,13.0,Electronics,60.33139044459218,2021-05-11,2023-10-27,5,2021,899,-733,2023-10
1148,1149,46.0,88100.0,1954.3917813307128,Female,South,27.0,Toys,90.31525112022932,2022-07-31,2023-05-28,7,2022,301,-885,2023-05
1152,1153,75.0,112500.0,1629.864338483958,Male,North,38.0,Clothing,70.29492911786699,2021-07-05,2023-07-22,7,2021,747,-830,2023-07
1153,1154,68.0,110200.0,216.4746002674006,Male,West,19.0,Toys,9.294746645370632,2021-10-01,2022-05-24,10,2021,235,-1254,2022-05
1155,1156,38.0,119500.0,1264.4342970676837,Female,South,40.0,Toys,16.85596720562218,2021-12-18,2022-10-07,12,2021,293,-1118,2022-10
1157,1158,35.0,56200.0,1262.386439556824,Female,West,21.0,Toys,72.51376641998436,2021-05-31,2023-04-04,5,2021,673,-939,2023-04
1158,1159,45.0,25900.0,1848.8563783483123,Female,North,22.0,Electronics,55.70068206893427,2022-01-19,2023-11-28,1,2022,678,-701,2023-11
1160,1161,78.0,56700.0,84.25313204553791,Male,North,39.0,Electronics,25.28673003281405,2021-11-22,2022-09-09,11,2021,291,-1146,2022-09
1162,1163,38.0,42400.0,634.408089267561,Female,South,39.0,Clothing,20.65479697688959,2022-04-11,2023-04-28,4,2022,382,-915,2023-04
1163,1164,23.0,47000.0,810.2696788810329,Female,West,32.0,Toys,40.027700741448015,2021-04-05,2021-10-30,4,2021,208,-1460,2021-10
1168,1169,43.0,32000.0,113.0451519861726,Female,North,32.0,Toys,88.54408485107929,2021-12-22,2023-02-22,12,2021,427,-980,2023-02
1169,1170,63.0,72900.0,690.8497827775993,Male,South,4.0,Electronics,23.291456088903335,2021-08-28,2022-01-03,8,2021,128,-1395,2022-01
1170,1171,51.0,101500.0,822.1941362832451,Male,South,1.0,Toys,45.085668261760894,2022-07-18,2022-12-28,7,2022,163,-1036,2022-12
1172,1173,31.0,78700.0,1265.1683360365876,Female,West,7.0,Health,33.51531426223207,2021-06-16,2023-05-12,6,2021,695,-901,2023-05
1173,1174,43.0,106100.0,1287.9538783555972,Male,South,9.0,Health,50.6880444032203,2021-05-20,2021-10-07,5,2021,140,-1483,2021-10
1174,1175,62.0,76700.0,1703.9983720906223,Female,North,1.0,Electronics,73.27402143357924,2021-05-19,2021-11-12,5,2021,177,-1447,2021-11
